source_row,product_code,product_name,brand,category_name,unit,mrp,selling_price,cost_price,margin_percentage,stock_quantity,source_hsn_code,source_gst_percent,source_alias_name,source_generic_name,source_sub_category,source_created_date
2,LEGACY-XLS-16227,B PROTIN NUTRITIONAL CHOCOLATE 200GM PWD,BRITISH BIOLOGICALS,VITAMINS & SUPPLEMENTS-HW,1 pack,272.00,272.00,207.23,23.81,39.00,19019090,5.00,B PROTIN NUTRITIONAL CHOOCLATE 200gm Pwd,,BRITISH BIOLOGICALS(TAG),01/12/2022
3,LEGACY-XLS-16276,BEENS MOM VANILLA 200GM PWD,AKESISS PHARMA PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,332.80,332.80,253.56,23.81,3.00,21069099,5.00,BEENS MOM VANILLA 200gm Pwd,,OTX,01/12/2022
4,LEGACY-XLS-16343,BLOOD PRESSURE MONITOR BP 09-DR MOREPEN,MOREPEN LABORATORIES LTD,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,1430.00,1430.00,1000.00,30.07,0.00,90192090,5.00,BLOOD PRESSURE MONITOR BP 09-Dr Morepen,,MOREPEN(TAG),01/12/2022
5,LEGACY-XLS-16670,D PROTIN CHOCOLATE 200GM PWD,BRITISH BIOLOGICALS,VITAMINS & SUPPLEMENTS-HW,1 pack,305.00,305.00,232.38,23.81,20.00,21069091,5.00,D PROTIN CHOCOLATE 200gm Pwd,,BRITISH BIOLOGICALS(TAG),01/12/2022
6,LEGACY-XLS-16671,D PROTIN VANILLA 200GM PWD,BRITISH BIOLOGICALS,VITAMINS & SUPPLEMENTS-HW,1 pack,305.00,305.00,232.38,23.81,36.00,21069091,5.00,D PROTIN VANILLA 200gm Pwd,,BRITISH BIOLOGICALS(TAG),01/12/2022
7,LEGACY-XLS-16781,DIGITAL THERMOMETER-ACCUSURE,MICROGENE DIAGNOSTIC SYSTEMS (P) LTD,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,222.00,222.00,65.00,70.72,0.00,90251910,5.00,DIGITAL THERMOMETER-Accusure,,ACCUSURE(TAG),01/12/2022
8,LEGACY-XLS-16782,DIGITAL THERMOMETER-BPL,BPL HOMECARE LTD,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,250.00,250.00,71.50,71.40,0.00,90251910,5.00,DIGITAL THERMOMETER-BPL,,OTX,01/12/2022
9,LEGACY-XLS-16892,ELECTRAL 21.80GM GRANULES,FDC LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,23.05,23.05,17.56,23.82,48.00,30049086,5.00,ELECTRAL GRANULES 21.80gm Pwd,ORAL REHYDRATION,OTX,01/12/2022
10,LEGACY-XLS-17057,FYBOGEL ORANGE 100GM PWD,RECKITT BENCKISER HEALTHCARE INDIA PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,196.87,196.87,168.75,14.28,54.00,30049011,5.00,FYBOGEL ORANGE 100gm Pwd,,FYBOGEL(TAG),01/12/2022
11,LEGACY-XLS-17149,BLOOD GLUCOMETER GLUCO ONE BG03 DR MOREPEN,DR REDDY'S LABORATORIES LTD,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,620.00,620.00,55.00,91.13,5.00,90189023,5.00,GLUCO ONE BLOOD GLUCOMETER BG 03-Dr Morepen,,MOREPEN(TAG),01/12/2022
12,LEGACY-XLS-17252,HORLICKS DIABETES PLUS VANILLA 400GM PWD,HINDUSTAN UNILEVER LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,768.00,768.00,658.95,14.20,8.00,21069099,5.00,HORLICKS DIABETES PLUS VANILLA 400gm Pwd,,HORLICKS(TAG),01/12/2022
13,LEGACY-XLS-17253,HORLICKS JAR 1KGM PWD,HINDUSTAN UNILEVER LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,574.00,574.00,469.37,18.23,6.00,19019090,5.00,HORLICKS JAR 1KGM PWD,,HORLICKS(TAG),01/12/2022
14,LEGACY-XLS-17255,HORLICKS PROTEIN PLUS VANILLA 400GM PWD,HINDUSTAN UNILEVER LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,570.00,570.00,476.19,16.46,2.00,21069099,5.00,HORLICKS PROTEIN PLUS VANILLA 400gm Pwd,,HORLICKS(TAG),01/12/2022
